true_label,predicted_label
50톤급,50톤급
50톤급,50톤급
50톤급,50톤급
50톤급,50톤급
100톤급,100톤급
100톤급,100톤급
100톤급,100톤급
100톤급,50톤급
200톤급,200톤급
200톤급,200톤급
200톤급,200톤급
200톤급,200톤급
300톤급,300톤급
300톤급,300톤급
300톤급,300톤급
300톤급,500톤급
500톤급,500톤급
500톤급,500톤급
500톤급,500톤급
500톤급,500톤급
800톤급,800톤급
800톤급,800톤급
800톤급,800톤급
800톤급,500톤급
"1,000톤급","1,000톤급"
"1,000톤급","1,000톤급"
"1,000톤급","1,000톤급"
"1,000톤급","1,500톤급"
"1,500톤급","1,500톤급"
"1,500톤급","1,500톤급"
"1,500톤급","1,500톤급"
"1,500톤급","1,500톤급"
"3,000톤급","3,000톤급"
"3,000톤급","3,000톤급"
"3,000톤급","3,000톤급"
"3,000톤급","5,000톤급"
"5,000톤급","5,000톤급"
"5,000톤급","5,000톤급"
"5,000톤급","5,000톤급"
"5,000톤급","3,000톤급"
